"External ID","Code","Description"
"l10n_eu_nace.nace_24_20","24.20","Proizvodnja čeličnih cijevi i pribora"
"l10n_eu_nace.nace_24_3","24.3","Proizvodnja ostalih proizvoda primarne prerade čelika"
"l10n_eu_nace.nace_24_31","24.31","Hladno vučenje šipki"
"l10n_eu_nace.nace_24_32","24.32","Hladno valjanje uskih vrpci"
"l10n_eu_nace.nace_24_33","24.33","Hladno oblikovanje i profiliranje "
"l10n_eu_nace.nace_24_34","24.34","Hladno vučenje žice"
"l10n_eu_nace.nace_24_4","24.4","Proizvodnja plemenitih i ostalih obojenih metala"
"l10n_eu_nace.nace_24_41","24.41","Proizvodnja plemenitih metala"
"l10n_eu_nace.nace_24_42","24.42","Proizvodnja aluminija"
"l10n_eu_nace.nace_24_43","24.43","Proizvodnja olova, cinka i kositra"
"l10n_eu_nace.nace_24_44","24.44","Proizvodnja bakra"
"l10n_eu_nace.nace_24_45","24.45","Proizvodnja ostalih obojenih metala"
"l10n_eu_nace.nace_24_46","24.46","Obrada nuklearnoga goriva"
"l10n_eu_nace.nace_24_5","24.5","Lijevanje metala"
"l10n_eu_nace.nace_24_51","24.51","Lijevanje željeza"
"l10n_eu_nace.nace_24_52","24.52","Lijevanje čelika"
"l10n_eu_nace.nace_24_53","24.53","Lijevanje lakih metala"
"l10n_eu_nace.nace_24_54","24.54","Lijevanje ostalih obojenih metala"
"l10n_eu_nace.nace_25","25","Proizvodnja gotovih metalnih proizvoda, osim strojeva i opreme"
"l10n_eu_nace.nace_25_1","25.1","Proizvodnja metalnih konstrukcija"
"l10n_eu_nace.nace_25_11","25.11","Proizvodnja metalnih konstrukcija i njihovih dijelova"
"l10n_eu_nace.nace_25_12","25.12","Proizvodnja vrata i prozora od metala"
"l10n_eu_nace.nace_25_2","25.2","Proizvodnja metalnih cisterni, rezervoara i sličnih posuda "
"l10n_eu_nace.nace_25_21","25.21","Proizvodnja radijatora i kotlova za centralno grijanje"
"l10n_eu_nace.nace_25_29","25.29","Proizvodnja ostalih metalnih cisterni, rezervoara i sličnih posuda "
"l10n_eu_nace.nace_25_3","25.3","Proizvodnja parnih kotlova, osim kotlova za centralno grijanje toplom vodom"
"l10n_eu_nace.nace_25_30","25.30","Proizvodnja parnih kotlova, osim kotlova za centralno grijanje toplom vodom"
"l10n_eu_nace.nace_25_4","25.4","Proizvodnja oružja i streljiva"
"l10n_eu_nace.nace_25_40","25.40","Proizvodnja oružja i streljiva"
"l10n_eu_nace.nace_25_5","25.5","Kovanje, prešanje, štancanje i valjanje metala; metalurgija praha"
"l10n_eu_nace.nace_25_50","25.50","Kovanje, prešanje, štancanje i valjanje metala; metalurgija praha"
"l10n_eu_nace.nace_25_6","25.6","Obrada i prevlačenje metala; strojna obrada metala"
"l10n_eu_nace.nace_25_61","25.61","Obrada i prevlačenje metala"
"l10n_eu_nace.nace_25_62","25.62","Strojna obrada metala"
"l10n_eu_nace.nace_25_7","25.7","Proizvodnja sječiva, alata i opće željezne robe"
"l10n_eu_nace.nace_25_71","25.71","Proizvodnja sječiva"
"l10n_eu_nace.nace_25_72","25.72","Proizvodnja brava i okova"
"l10n_eu_nace.nace_25_73","25.73","Proizvodnja alata"
"l10n_eu_nace.nace_25_9","25.9","Proizvodnja ostalih gotovih proizvoda od metala"
"l10n_eu_nace.nace_25_91","25.91","Proizvodnja čeličnih bačava i sličnih posuda "
"l10n_eu_nace.nace_25_92","25.92","Proizvodnja ambalaže od lakih metala"
"l10n_eu_nace.nace_25_93","25.93","Proizvodnja proizvoda od žice, lanaca i opruga"
"l10n_eu_nace.nace_25_94","25.94","Proizvodnja zakovica i vijčane robe"
"l10n_eu_nace.nace_25_99","25.99","Proizvodnja ostalih gotovih proizvoda od metala, d. n."
